nome,valor,dia,mes,ano,data,hora,minuto
Dólar Americano,5.19,4,9,2021,4/9/2021,0,0
Euro,6.17,4,9,2021,4/9/2021,0,0
Libra esterlina,7.2,4,9,2021,4/9/2021,0,0
Iene,0.047,4,9,2021,4/9/2021,0,0
Dólar Australiano,3.87,4,9,2021,4/9/2021,0,0
Dólar Canadense,4.14,4,9,2021,4/9/2021,0,0
Peso Argentino,0.053,4,9,2021,4/9/2021,0,0
Lira Turca,0.62,4,9,2021,4/9/2021,0,0
Bitcoin,257737.62,4,9,2021,4/9/2021,0,0
Dólar Americano,5.191226,5,9,2021,5/9/2021,0,0
Euro,6.169668276,5,9,2021,5/9/2021,0,0
Libra esterlina,7.195682948000001,5,9,2021,5/9/2021,0,0
Iene,0.04730477698,5,9,2021,5/9/2021,0,0
Dólar Australiano,3.867437413,5,9,2021,5/9/2021,0,0
Dólar Canadense,4.1439469760000005,5,9,2021,5/9/2021,0,0
Peso Argentino,0.0530496576099999,5,9,2021,5/9/2021,0,0
Lira Turca,0.6237969756,5,9,2021,5/9/2021,0,0
Bitcoin,268510.9736,5,9,2021,5/9/2021,0,0
Dólar Americano,5.1712,6,9,2021,6/9/2021,17,18
Euro,6.13795584,6,9,2021,6/9/2021,17,18
Libra esterlina,7.15511,6,9,2021,6/9/2021,17,18
Iene,0.04707510389,6,9,2021,6/9/2021,17,18
Dólar Australiano,3.844632064,6,9,2021,6/9/2021,17,18
Dólar Canadense,4.127464,6,9,2021,6/9/2021,17,18
Peso Argentino,0.05282318,6,9,2021,6/9/2021,17,18
Lira Turca,0.6246504499000001,6,9,2021,6/9/2021,17,18
Bitcoin,267365.0022,6,9,2021,6/9/2021,17,19
Dólar Americano,5.1707,7,9,2021,7/9/2021,10,59
Euro,6.1308,7,9,2021,7/9/2021,10,59
Libra esterlina,7.137772999999999,7,9,2021,7/9/2021,10,59
Iene,0.0469615900699999,7,9,2021,7/9/2021,10,59
Dólar Australiano,3.822801924,7,9,2021,7/9/2021,10,59
Dólar Canadense,4.105923602,7,9,2021,7/9/2021,10,59
Peso Argentino,0.05275871,7,9,2021,7/9/2021,10,59
Lira Turca,0.6199214278,7,9,2021,7/9/2021,10,59
Bitcoin,261518.4939,7,9,2021,7/9/2021,10,59
Dólar Americano,5.3222,8,9,2021,8/9/2021,19,49
Euro,6.29057429,8,9,2021,8/9/2021,19,49
Libra esterlina,7.3302660600000005,8,9,2021,8/9/2021,19,49
Iene,0.048280710379999994,8,9,2021,8/9/2021,19,49
Dólar Australiano,3.92139696,8,9,2021,8/9/2021,19,49
Dólar Canadense,4.19415971,8,9,2021,8/9/2021,19,49
Peso Argentino,0.05430342,8,9,2021,8/9/2021,19,49
Lira Turca,0.62853745,8,9,2021,8/9/2021,19,49
Bitcoin,248617.5252,8,9,2021,8/9/2021,19,49
