nome,valor,dia,mes,ano,data,hora,minuto
Dólar Americano,5.19,4,9,2021,4/9/2021,0,0
Euro,6.17,4,9,2021,4/9/2021,0,0
Libra esterlina,7.2,4,9,2021,4/9/2021,0,0
Iene,0.047,4,9,2021,4/9/2021,0,0
Dólar Australiano,3.87,4,9,2021,4/9/2021,0,0
Dólar Canadense,4.14,4,9,2021,4/9/2021,0,0
Peso Argentino,0.053,4,9,2021,4/9/2021,0,0
Lira Turca,0.62,4,9,2021,4/9/2021,0,0
Bitcoin,257737.62,4,9,2021,4/9/2021,0,0
Dólar Americano,5.191226,5,9,2021,5/9/2021,0,0
Euro,6.169668276,5,9,2021,5/9/2021,0,0
Libra esterlina,7.195682948000001,5,9,2021,5/9/2021,0,0
Iene,0.04730477698,5,9,2021,5/9/2021,0,0
Dólar Australiano,3.867437413,5,9,2021,5/9/2021,0,0
Dólar Canadense,4.1439469760000005,5,9,2021,5/9/2021,0,0
Peso Argentino,0.0530496576099999,5,9,2021,5/9/2021,0,0
Lira Turca,0.6237969756,5,9,2021,5/9/2021,0,0
Bitcoin,268510.9736,5,9,2021,5/9/2021,0,0
Dólar Americano,5.160299999999999,6,9,2021,6/9/2021,12,13
Euro,6.120606028,6,9,2021,6/9/2021,12,13
Libra esterlina,7.131315,6,9,2021,6/9/2021,12,13
Iene,0.04697608924,6,9,2021,6/9/2021,12,13
Dólar Australiano,3.83446171,6,9,2021,6/9/2021,12,13
Dólar Canadense,4.114436197,6,9,2021,6/9/2021,12,13
Peso Argentino,0.052666,6,9,2021,6/9/2021,12,13
Lira Turca,0.6229624,6,9,2021,6/9/2021,12,13
Bitcoin,266951.6075,6,9,2021,6/9/2021,12,13
